Codigo,Nome,Volume
FNCN3,Finansinos,4800
TEKA3,Teka,100
HETA3,Hercules,200
LCAM3,Locamerica,26118900
BIDI4,Banco Inter,52479800
BIDI3,Banco Inter,15262400
EEEL4,CEEE GT,100
EEEL3,CEEE GT,400
BBRK3,BBRK3,1279600
SOND3,Sondotécnica,200
CESP6,CESP,9306600
CESP3,CESP,11500
CESP5,CESP,300
ECPR4,Encorpar,100
MOSI3,Mosaico,1021200
POWE3,Focus Energia,678000
EQPA6,Equatorial Energia Pará,600
ECPR3,Encorpar,300
GNDI3,NotreDame Intermédica,33458600
LAME4,Lojas Americanas,43631000
LAME3,Lojas Americanas,10941100
OMGE3,Omega Geração,834900
IGTA3,IGTA3,1641100
JPSA3,JPSA3,100100
BRDT3,BRDT3,24483500
JBDU4,JBDU4,2556100
JBDU3,JBDU3,1890100
HGTX3,Hering,7519800
CCPR3,CCPR3,328200
DTEX3,DTEX3,2875600
VVAR3,VVAR3,65670600
PNVL4,Dimed,2000
TESA3,Terra Santa,41100
BTOW3,BTOW3,11169600
LINX3,Linx,8510000
BTTL3,Embpar,6100
GPCP3,GPCP3,698100
GPCP4,GPCP4,5300
SMLS3,Smiles,1944100
MMXM3,MMX Mineração,1240300
BSEV3,Biosev,528800
CNTO3,CNTO3,2083600
TIET4,AES Tietê Energia,323700
TIET3,AES Tietê Energia,169100
CORR4,Corrêa Ribeiro,100
CEPE3,CELPE,1300
CALI4,Adolpho Lindenberg,100
SNSY6,Sansuy,100
CASN4,CASAN,100
EMAE3,EMAE,100
BPAR3,Banpará,100
APTI4,Aliperti,200
VSPT3,FCA,1000000
MTIG3,Metalgráfica Iguaçu,400
FIGE4,Investimentos Bemge,100
LUXM3,Trevisa,200
TKNO3,Tekno,100
COCE6,Coelce,100
MGEL3,Mangels,100
CTSA8,Santanense,2000
MMAQ4,Minasmáquinas,14
